way	weight	speed
724.0	98.27	17.04
725.0	98.27	17.03
726.0	98.27	17.03
727.0	98.27	17.03
728.0	98.27	17.03
729.0	98.27	17.03
730.0	98.27	17.03
731.0	98.27	17.03
732.0	98.27	17.03
733.0	98.27	17.03
734.0	98.27	17.03
735.0	98.27	17.03
736.0	98.27	17.02
737.0	98.27	17.02
738.0	98.27	17.02
739.0	98.27	17.02
740.0	98.27	17.02
741.0	98.27	17.02
742.0	98.27	17.02
743.0	98.27	17.02
744.0	98.27	17.02
745.0	98.27	17.02
746.0	98.27	17.02
747.0	98.27	17.02
748.0	98.27	17.01
749.0	98.27	17.01
750.0	98.27	17.01
751.0	98.27	17.01
752.0	98.27	17.01
753.0	98.27	17.01
754.0	98.27	17.01
755.0	98.27	17.01
756.0	98.27	17.01
757.0	98.27	17.01
758.0	98.27	17.01
759.0	98.27	17.01
760.0	98.27	17.0
761.0	98.27	17.0
762.0	98.27	17.0
763.0	98.27	17.0
764.0	98.27	17.0
765.0	98.27	17.0
766.0	98.27	17.0
767.0	98.27	17.0
768.0	98.27	17.0
769.0	98.27	17.0
770.0	98.27	17.0
771.0	98.27	17.0
772.0	98.27	16.99
773.0	98.27	16.99
774.0	98.27	16.99
775.0	98.27	16.99
776.0	98.27	16.99
777.0	98.27	16.99
778.0	98.27	16.99
779.0	98.27	16.99
780.0	98.27	16.99
781.0	98.27	16.99
782.0	98.27	16.99
783.0	98.27	16.99
784.0	98.27	16.98
785.0	98.27	16.98
786.0	98.27	16.98
787.0	98.27	16.98
788.0	98.27	16.98
789.0	98.27	16.98
790.0	98.27	16.98
791.0	98.27	16.98
792.0	98.27	16.98
793.0	98.27	16.98
794.0	98.27	16.98
795.0	98.27	16.98
796.0	98.27	16.97
797.0	98.27	16.97
798.0	98.27	16.97
799.0	98.27	16.97
800.0	98.27	16.97
801.0	98.27	16.97
802.0	98.27	16.97
803.0	98.27	16.97
804.0	98.27	16.97
805.0	98.27	16.97
806.0	98.27	16.97
807.0	98.27	16.97
808.0	98.27	16.96
809.0	98.27	16.96
810.0	98.27	16.96
811.0	98.27	16.96
812.0	98.27	16.96
813.0	98.27	16.96
814.0	98.27	16.96
815.0	98.27	16.96
816.0	98.27	16.96
817.0	98.27	16.96
818.0	98.27	16.96
819.0	98.27	16.96
820.0	98.27	16.95
821.0	98.27	16.95
822.0	98.27	16.95
823.0	98.27	16.95
824.0	98.27	16.95
825.0	98.27	16.95
826.0	98.27	16.95
827.0	98.27	16.95
828.0	98.27	16.95
829.0	98.27	16.95
830.0	98.27	16.95
831.0	98.27	16.95
832.0	98.27	16.95
833.0	98.26	16.94
834.0	98.26	16.94
835.0	98.26	16.94
836.0	98.26	16.94
837.0	98.26	16.94
838.0	98.26	16.94
839.0	98.26	16.94
840.0	98.26	16.94
841.0	98.26	16.94
842.0	98.26	16.94
843.0	98.26	16.94
844.0	98.26	16.94
845.0	98.26	16.93
846.0	98.26	16.93
847.0	98.26	16.93
848.0	98.26	16.93
849.0	98.26	16.93
850.0	98.26	16.93
851.0	98.26	16.93
852.0	98.26	16.93
853.0	98.26	16.93
854.0	98.26	16.93
855.0	98.26	16.93
856.0	98.26	16.93
857.0	98.26	16.93
858.0	98.26	16.92
859.0	98.26	16.92
860.0	98.26	16.92
861.0	98.26	16.92
862.0	98.26	16.92
863.0	98.26	16.92
864.0	98.26	16.92
865.0	98.26	16.92
866.0	98.26	16.92
867.0	98.26	16.92
868.0	98.26	16.92
869.0	98.26	16.92
870.0	98.26	16.92
871.0	98.26	16.91
872.0	98.26	16.91
873.0	98.26	16.91
874.0	98.26	16.91
875.0	98.26	16.91
876.0	98.26	16.91
877.0	98.26	16.91
878.0	98.26	16.91
879.0	98.26	16.91
880.0	98.26	16.91
881.0	98.26	16.91
882.0	98.26	16.91
883.0	98.26	16.91
884.0	98.26	16.9
885.0	98.26	16.9
886.0	98.26	16.9
887.0	98.26	16.9
888.0	98.26	16.9
889.0	98.26	16.9
890.0	98.26	16.9
891.0	98.26	16.9
892.0	98.26	16.9
893.0	98.26	16.9
894.0	98.26	16.9
895.0	98.26	16.9
896.0	98.26	16.9
897.0	98.26	16.89
898.0	98.26	16.89
899.0	98.26	16.89
900.0	98.26	16.89
901.0	98.26	16.89
902.0	98.26	16.89
903.0	98.26	16.89
904.0	98.26	16.89
905.0	98.26	16.89
906.0	98.26	16.89
907.0	98.26	16.89
908.0	98.26	16.89
909.0	98.26	16.89
910.0	98.26	16.88
911.0	98.26	16.88
912.0	98.26	16.88
913.0	98.27	16.88
914.0	98.27	16.88
915.0	98.27	16.88
916.0	98.27	16.88
917.0	98.27	16.88
918.0	98.27	16.88
919.0	98.27	16.88
920.0	98.27	16.88
921.0	98.27	16.88
922.0	98.27	16.87
923.0	98.27	16.87
924.0	98.27	16.87
925.0	98.27	16.87
926.0	98.27	16.87
927.0	98.27	16.87
928.0	98.27	16.87
929.0	98.27	16.87
930.0	98.27	16.87
931.0	98.27	16.87
932.0	98.27	16.87
933.0	98.27	16.87
934.0	98.27	16.87
935.0	98.27	16.86
936.0	98.27	16.86
937.0	98.27	16.86
938.0	98.27	16.86
939.0	98.28	16.86
940.0	98.28	16.86
941.0	98.28	16.86
942.0	98.28	16.86
943.0	98.28	16.86
944.0	98.28	16.86
945.0	98.28	16.86
946.0	98.28	16.86
947.0	98.28	16.85
948.0	98.28	16.85
949.0	98.28	16.85
950.0	98.28	16.85
951.0	98.28	16.85
952.0	98.28	16.85
953.0	98.28	16.85
954.0	98.28	16.85
955.0	98.28	16.85
956.0	98.28	16.85
957.0	98.28	16.85
958.0	98.28	16.85
959.0	98.28	16.84
960.0	98.28	16.84
961.0	98.28	16.84
962.0	98.28	16.84
963.0	98.28	16.84
964.0	98.28	16.84
965.0	98.28	16.84
966.0	98.28	16.84
967.0	98.28	16.84
968.0	98.28	16.84
969.0	98.28	16.84
970.0	98.28	16.84
971.0	98.28	16.84
972.0	98.28	16.83
973.0	98.28	16.83
974.0	98.28	16.83
975.0	98.28	16.83
976.0	98.28	16.83
977.0	98.28	16.83
978.0	98.28	16.83
979.0	98.28	16.83
980.0	98.28	16.83
981.0	98.28	16.83
982.0	98.28	16.83
983.0	98.28	16.83
984.0	98.28	16.82
985.0	98.28	16.82
986.0	98.28	16.82
987.0	98.28	16.82
988.0	98.28	16.82
989.0	98.28	16.82
990.0	98.28	16.82
991.0	98.28	16.82
992.0	98.28	16.82
993.0	98.28	16.82
994.0	98.28	16.82
995.0	98.28	16.82
996.0	98.28	16.81
997.0	98.28	16.81
998.0	98.28	16.81
999.0	98.28	16.81
1000.0	170712.52	0.0
1000.0	98.14	0.05
1000.0	98.14	0.1
1000.0	98.14	0.15
1000.0	98.14	0.2
1000.0	98.04	0.25
1000.01	97.94	0.29
1000.01	97.75	0.34
1000.01	97.45	0.39
1000.01	96.96	0.44
1000.01	96.28	0.49
1000.02	95.29	0.54
1000.02	94.02	0.58
1000.02	92.25	0.63
1000.03	90.09	0.67
1000.03	87.34	0.72
1000.03	84.01	0.76
1000.04	79.98	0.8
1000.04	75.18	0.84
1000.05	69.58	0.87
1000.05	63.01	0.9
1000.06	55.65	0.93
1000.06	47.21	0.96
1000.07	37.69	0.97
1000.07	27.28	0.99
1000.08	15.8	1.0
1000.08	3.43	1.0
1000.09	0.0	0.99
